Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraMap.Drawing.D3DResourceHolder.CreateContour",96,5,0.89,0.05,
"DevExpress.XtraMap.Drawing.D3DResourceHolder.PointCorrection",5,5,0.05,0.05,
"DevExpress.XtraMap.ProjectionCoreWrapper.GeoPointToMapUnit",37,5,0.34,0.05,
"[comctl32.dll]","1.886",4,17.48,0.04,
"[oleaut32.dll]",4,4,0.04,0.04,
"D3D.Vector3d.get_Y",4,4,0.04,0.04,
"D3D.Vector3d.op_Multiply",4,4,0.04,0.04,
"D3D.Vector3d.op_Subtraction",6,4,0.06,0.04,
"DevExpress.Charts.Native.AggregationPointFilter.IsEnabled",15,4,0.14,0.04,
"DevExpress.Charts.Native.AxisCoordCalculator.GetCoord",5,4,0.05,0.04,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.DetectOverlapping",39,4,0.36,0.04,
"DevExpress.Charts.Native.MinMaxValues.get_Min",4,4,0.04,0.04,
"DevExpress.Charts.Native.PointsProcessor.get_NeedSortedByArgumentPoints",4,4,0.04,0.04,
"DevExpress.Charts.Native.WorkdaysPointsFilter.GetOptions",5,4,0.05,0.04,
"DevExpress.Charts.NotificationCenter.Native.ObserverManager.SelectObserver",10,4,0.09,0.04,
"DevExpress.LookAndFeel.UserLookAndFeel.get_ParentLookAndFeel",4,4,0.04,0.04,
"DevExpress.LookAndFeel.UserLookAndFeel.GetMaskColor2",10,4,0.09,0.04,
"DevExpress.Map.CoordPoint.get_XCoord",4,4,0.04,0.04,
"DevExpress.Map.CoordPoint.op_Equality",4,4,0.04,0.04,
"DevExpress.Skins.SkinBuilderElementInfo.get_ScaleFactor",4,4,0.04,0.04,
"DevExpress.Skins.SkinImage.get_Owner",4,4,0.04,0.04,
"DevExpress.Utils.DXCollectionBase`1[System.__Canon].GetItem",4,4,0.04,0.04,
"DevExpress.XtraBars.Docking2010.Views.BaseDocumentCollection.DevExpress.Utils.Win.Hook.IHookController.InternalPreFilterMessage",9,4,0.08,0.04,
"DevExpress.XtraBars.MessageFilter.BarManagerHook.CheckInternalPreFilterMessageListeners",11,4,0.10,0.04,
"DevExpress.XtraCharts.Native.DiagramPoint.get_X",4,4,0.04,0.04,
"DevExpress.XtraCharts.Native.MatrixTransform.Project",6,4,0.06,0.04,
"DevExpress.XtraCharts.Native.RangeWrapper.get_Max",7,4,0.06,0.04,
"DevExpress.XtraCharts.SeriesBase.get_View",4,4,0.04,0.04,
"DevExpress.XtraCharts.SeriesBase.GetScaleFromDataSource",28,4,0.26,0.04,
"DevExpress.XtraMap.Drawing.DirectX.D3DMath.CalcBisectrix",52,4,0.48,0.04,
"DevExpress.XtraMap.Drawing.GLUTesselator.VertexProc",29,4,0.27,0.04,
"DevExpress.XtraMap.MapSegmentBase.CalculateBounds",52,4,0.48,0.04,
"DevExpress.XtraMap.MapSegmentBase.ResetStyle",16,4,0.15,0.04,
"[System.Core.ni.dll]",51,3,0.47,0.03,
"[System.Xml.ni.dll]",10,3,0.09,0.03,
"D3D.Vector3d.DotProduct",3,3,0.03,0.03,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator.Generate",35,3,0.32,0.03,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem+<>c__DisplayClass4.<OnFileLoaded>b__0",13,3,0.12,0.03,
"DevExpress.ApplicationUI.Demos.UnitsSoldRandomGenerator.Next",12,3,0.11,0.03,
"DevExpress.Charts.Native.AggregationPointFilter.GetCachedPoints",26,3,0.24,0.03,
"DevExpress.Charts.Native.AggregationPointFilter.Update",69,3,0.64,0.03,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+OverlapState.CheckRect",6,3,0.06,0.03,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+OverlapState.get_FirstItem",3,3,0.03,0.03,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver+OverlapState.PushItem",6,3,0.06,0.03,
"DevExpress.Charts.Native.AxisLabelRotationHelper.CalculateRotatedItemPoints",3,3,0.03,0.03,
"DevExpress.Charts.Native.GeometricUtils.StrongRound",3,3,0.03,0.03,
"DevExpress.Charts.Native.PaneAxesContainer.CanScrollAxis",3,3,0.03,0.03,
"DevExpress.Charts.Native.PointsFilter.GeFilteredPoints",63,3,0.58,0.03,
"DevExpress.Charts.Native.PointsProcessor.GetProcessedPoints",168,3,1.56,0.03,
"DevExpress.Charts.Native.SideBySideInteractionBase.GetGroupIndex",3,3,0.03,0.03,
