Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraRichEdit.Layout.Export.GraphicsDocumentLayoutExporter.ShouldExportRowBackground",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Layout.SingleSpaceBox.get_IsLineBreak",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.BorderInfo.Equals",2,1,0.02,0.01,
"DevExpress.XtraRichEdit.Model.BorderInfo.get_Color",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.CharacterFormattingInfo.Equals",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.CharacterFormattingInfo.get_Script",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.CharacterStyleCollection.CreateHyperlinkStyle",13,1,0.12,0.01,
"DevExpress.XtraRichEdit.Model.ContentTypeBase.get_IsTextBox",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.IndexedTree`2[System.__Canon.DevExpress.XtraRichEdit.Model.ParagraphIndex].CheckNode",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.IndexedTreeNodeBase`1[System.__Canon].get_FirstRelativeIndex",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.IndexedTreeNodeMiddleLevel`1[System.__Canon].FindItemByIndex",2,1,0.02,0.01,
"DevExpress.XtraRichEdit.Model.Paragraph.get_LogPosition",2,1,0.02,0.01,
"DevExpress.XtraRichEdit.Model.Paragraph.GetCell",3,1,0.03,0.01,
"DevExpress.XtraRichEdit.Model.Paragraph.GetFirstRunIndex",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.ParagraphIndex.op_LessThan",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.ParagraphIndexedTree.CheckTree",9,1,0.08,0.01,
"DevExpress.XtraRichEdit.Model.ParagraphPropertiesMerger..ctor",3,1,0.03,0.01,
"DevExpress.XtraRichEdit.Model.ParagraphPropertiesMerger.MergeCore",6,1,0.06,0.01,
"DevExpress.XtraRichEdit.Model.PieceTable.FindFieldIndexByRunIndex",4,1,0.04,0.01,
"DevExpress.XtraRichEdit.Model.PieceTable.FindFieldIndexByRunIndexCore",3,1,0.03,0.01,
"DevExpress.XtraRichEdit.Model.PieceTable.RecalcParagraphsPositions",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.PropertiesMergerBase`3[System.__Canon.System.__Canon.System.__Canon].get_OwnOptions",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.RunIndex.DevExpress.Utils.IConvertToInt<DevExpress.XtraRichEdit.Model.RunIndex>.ToInt",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.SelectionItem.DevExpress.Utils.IBatchUpdateHandler.OnEndUpdate",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.SelectionItem.EndUpdate",2,1,0.02,0.01,
"DevExpress.XtraRichEdit.Model.TableCellsManager.get_CellTree",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.TableCollection.get_Count",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.TextRunBase.get_MergedCharacterFormatting",10,1,0.09,0.01,
"DevExpress.XtraRichEdit.Model.VisibleTextFilterBase.get_PieceTable",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.Model.VisibleTextFilterBase.IsRunVisibleCore",9,1,0.08,0.01,
"DevExpress.XtraRichEdit.Mouse.MouseCursorCalculator.CalculateHotZoneCursor",4,1,0.04,0.01,
"DevExpress.XtraRichEdit.Mouse.RichEditMouseHandler.CalculateAndSaveHitInfo",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.RichEditControl.get_InnerControl",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.RichEditView.CreateTransformMatrix",2,1,0.02,0.01,
"DevExpress.XtraRichEdit.RichEditView.get_DocumentModel",1,1,0.01,0.01,
"DevExpress.XtraRichEdit.RichEditView.GetPageViewInfoFromPoint",4,1,0.04,0.01,
"DevExpress.XtraRichEdit.RichEditView.OnPageFormattingComplete",15,1,0.14,0.01,
"DevExpress.XtraRichEdit.Ruler.HorizontalRulerMouseHandler..ctor",7,1,0.06,0.01,
"DevExpress.XtraRichEdit.Tests.PieceTableTestsBase.CheckPieceTableIntegrity",12,1,0.11,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabControlViewInfo.CalcClientBounds",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabControlViewInfo.get_Bounds",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabControlViewInfo.get_Properties",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabControlViewInfo.get_ShowHeaderFocus",2,1,0.02,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabHeaderViewInfo.get_HeaderLocation",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabHeaderViewInfo.MeasureString",2,1,0.02,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabHeaderViewInfo.SetSizeWidth",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabHeaderViewInfo.UpdatePageStates",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabHitInfo.set_Page",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabPageViewInfo.DevExpress.XtraEditors.ButtonPanel.IButtonsPanelOwner.get_IsSelected",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabPageViewInfo.get_Bounds",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.BaseTabPageViewInfo.get_Separator",1,1,0.01,0.01,
"DevExpress.XtraTab.ViewInfo.SkinTabHeaderViewInfo.UpdatePageBounds",5,1,0.05,0.01,
"DevExpress.XtraTreeList.TreeList.InternalGetCustomNodeCellStyle",2,1,0.02,0.01,
"DevExpress.XtraTreeList.TreeList.RaiseNodeChanged",1,1,0.01,0.01,
"dynamicClass.Go5",1,1,0.01,0.01,
"dynamicClass.IL_STUB_PInvoke",2,1,0.02,0.01,
"dynamicClass.IL_STUB_PInvoke",1,1,0.01,0.01,
"dynamicClass.IL_STUB_PInvoke",54,1,0.50,0.01,
"dynamicClass.IL_STUB_PInvoke",88,1,0.82,0.01,
"dynamicClass.IL_STUB_PInvoke",3,1,0.03,0.01,
"dynamicClass.IL_STUB_PInvoke",3,1,0.03,0.01,
"dynamicClass.IL_STUB_ReversePInvoke",2,1,0.02,0.01,
"NUnit.Framework.Assert.That",1,1,0.01,0.01,
"NUnit.Framework.Constraints.Numerics.IsFloatingPointNumeric",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.Charts.NotificationCenter.Native.NotificationFilterLevel.System.__Canon].FindEntry",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.Charts.NotificationCenter.Native.NotificationFilterLevel.System.__Canon].Insert",13,1,0.12,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.Charts.NotificationCenter.Native.NotificationFilterLevel.System.__Canon].Resize",10,1,0.09,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.Utils.Drawing.ObjectState.System.__Canon].FindEntry",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.Utils.FormShadow.ShadowWindowTypes.DevExpress.Utils.FormShadow.RibbonFormSkinShadowPainter+SkinElementNames].get_Count",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[DevExpress.XtraGrid.Localization.GridStringId.System.__Canon].Insert",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[System.__Canon.DevExpress.Charts.Native.PatternConstants].FindEntry",1,1,0.01,0.01,
"System.Collections.Generic.Dictionary`2[System.__Canon.System.Drawing.Rectangle].Clear",1,1,0.01,0.01,
"System.Collections.Generic.HashSet`1[System.IntPtr].Initialize",1,1,0.01,0.01,
"System.Collections.Generic.List`1[D3D.Vector3d].Add",2,1,0.02,0.01,
"System.Collections.Generic.List`1+Enumerator[DevExpress.Charts.Native.GRealPoint2D].MoveNextRare",1,1,0.01,0.01,
"System.Nullable`1[System.Drawing.Rectangle].get_HasValue",1,1,0.01,0.01,
"[Accessibility.ni.dll]",68,0,0.63,0.00,
"[bcrypt.dll]",1,0,0.01,0.00,
"[bcryptprimitives.dll]",1,0,0.01,0.00,
"[cfgmgr32.dll]",2,0,0.02,0.00,
"[cryptbase.dll]",1,0,0.01,0.00,
"[mscoree.dll]","9.206",0,85.34,0.00,
"[mscoreei.dll]","9.206",0,85.34,0.00,
"[nvapi.dll]",6,0,0.06,0.00,
"[nvSCPAPI.dll]",11,0,0.10,0.00,
"[nvspcap.dll]",1,0,0.01,0.00,
"[ole32.dll]",1,0,0.01,0.00,
"[rpcrt4.dll]",467,0,4.33,0.00,
"[rsaenh.dll]",2,0,0.02,0.00,
"[setupapi.dll]",4,0,0.04,0.00,
"[shell32.dll]",53,0,0.49,0.00,
"[System.Configuration.ni.dll]",4,0,0.04,0.00,
"[urlmon.dll]",3,0,0.03,0.00,
"[version.dll]",3,0,0.03,0.00,
"D3D.Direct3D.Direct3DCreate9",18,0,0.17,0.00,
"D3D.Matrix4x4.Identity",3,0,0.03,0.00,
"D3D.Matrix4x4.set_M",1,0,0.01,0.00,
"DevExpress.Accessibility.BaseAccessible.DevExpress.Accessibility.IDXAccessible.get_Bounds",1,0,0.01,0.00,
"DevExpress.Accessibility.BaseAccessible.get_Accessible",17,0,0.16,0.00,
"DevExpress.Accessibility.BaseAccessible.get_Children",1,0,0.01,0.00,
"DevExpress.Accessibility.BaseAccessible.get_ScreenBounds",1,0,0.01,0.00,
"DevExpress.Accessibility.BaseAccessible.RequestChildren",2,0,0.02,0.00,
"DevExpress.Accessibility.BaseAccessibleObject..ctor",17,0,0.16,0.00,
"DevExpress.Accessibility.BaseAccessibleObject.get_Bounds",1,0,0.01,0.00,
"DevExpress.Accessibility.BaseAccessibleObject.get_Parent",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.About.Dispose",20,0,0.19,0.00,
"DevExpress.ApplicationUI.Demos.Calendar..ctor",94,0,0.87,0.00,
"DevExpress.ApplicationUI.Demos.Calendar.InitializeComponent",86,0,0.80,0.00,
"DevExpress.ApplicationUI.Demos.Clock..ctor",4,0,0.04,0.00,
"DevExpress.ApplicationUI.Demos.Clock.InitializeComponent",2,0,0.02,0.00,
"DevExpress.ApplicationUI.Demos.DashboardWidgets..ctor",61,0,0.57,0.00,
"DevExpress.ApplicationUI.Demos.DashboardWidgets.InitializeComponent",50,0,0.46,0.00,
"DevExpress.ApplicationUI.Demos.DashboardWidgets.OnQueryControl",251,0,2.33,0.00,
"DevExpress.ApplicationUI.Demos.DataHelper.Random",9,0,0.08,0.00,
"DevExpress.ApplicationUI.Demos.DataLoader.LoadSales",9,0,0.08,0.00,
"DevExpress.ApplicationUI.Demos.DemosInfo.ShowModule","1.049",0,9.72,0.00,
"DevExpress.ApplicationUI.Demos.frmMain.Dispose",113,0,1.05,0.00,
"DevExpress.ApplicationUI.Demos.frmMain.ShowModule","1.049",0,9.72,0.00,
"DevExpress.ApplicationUI.Demos.IDEWorkspaces..ctor",416,0,3.86,0.00,
"DevExpress.ApplicationUI.Demos.IDEWorkspaces.Dispose",38,0,0.35,0.00,
"DevExpress.ApplicationUI.Demos.IDEWorkspaces.FillNavBar",2,0,0.02,0.00,
"DevExpress.ApplicationUI.Demos.IDEWorkspaces.InitializeComponent",364,0,3.37,0.00,
"DevExpress.ApplicationUI.Demos.IDEWorkspaces.tabbedView1_QueryControl",915,0,8.48,0.00,
"DevExpress.ApplicationUI.Demos.Mail..ctor",8,0,0.07,0.00,
"DevExpress.ApplicationUI.Demos.Mail.InitializeComponent",8,0,0.07,0.00,
"DevExpress.ApplicationUI.Demos.MaximizedWidgetControl..ctor","1.533",0,14.21,0.00,
"DevExpress.ApplicationUI.Demos.MaximizedWidgetControl.AddNewSeriesPoint","1.121",0,10.39,0.00,
"DevExpress.ApplicationUI.Demos.MaximizedWidgetControl.InitializeComponent",522,0,4.84,0.00,
"DevExpress.ApplicationUI.Demos.MaximizedWidgetControl.OnTimerTick",137,0,1.27,0.00,
"DevExpress.ApplicationUI.Demos.News..ctor",20,0,0.19,0.00,
"DevExpress.ApplicationUI.Demos.News.InitializeComponent",16,0,0.15,0.00,
"DevExpress.ApplicationUI.Demos.OverviewLabel..ctor",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.OverviewLabel.GetFitAppearance",86,0,0.80,0.00,
"DevExpress.ApplicationUI.Demos.OverviewLabel.OnPaint",90,0,0.83,0.00,
"DevExpress.ApplicationUI.Demos.OverviewLabel.OnSizeChanged",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.OverviewLabel.OnTextChanged",7,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.ProductClass.ContainsProduct",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.ProductClasses..ctor",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.ProductClasses.get_Item",2,0,0.02,0.00,
"DevExpress.ApplicationUI.Demos.Program.Main","9.241",0,85.66,0.00,
"DevExpress.ApplicationUI.Demos.RegionClasses..ctor",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.SalesDataGenerator..ctor",4,0,0.04,0.00,
"DevExpress.ApplicationUI.Demos.SalesDataGenerator.GetProductClass",2,0,0.02,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator..ctor",5,0,0.05,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator.<get_MonthlySales>b__2",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator.get_Current",84,0,0.78,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceDataGenerator.get_MonthlySales",3,0,0.03,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceWidgets..ctor",19,0,0.18,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceWidgets.InitializeComponent",17,0,0.16,0.00,
"DevExpress.ApplicationUI.Demos.SalesPerformanceWidgets.widgetView1_QueryControl","1.176",0,10.90,0.00,
"DevExpress.ApplicationUI.Demos.StockDataCreator.GetData",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.ToDoList..ctor",6,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.ToDoList.InitializeComponent",5,0,0.05,0.00,
"DevExpress.ApplicationUI.Demos.ucCardWidget..ctor",8,0,0.07,0.00,
"DevExpress.ApplicationUI.Demos.ucCardWidget.InitializeComponent",6,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.ucCardWidget.OnLoad",7,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.ucCategorySales..ctor",134,0,1.24,0.00,
"DevExpress.ApplicationUI.Demos.ucCategorySales.InitializeComponent",36,0,0.33,0.00,
"DevExpress.ApplicationUI.Demos.ucChartProductItem..ctor",68,0,0.63,0.00,
"DevExpress.ApplicationUI.Demos.ucChartProductItem.InitializeComponent",18,0,0.17,0.00,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem..ctor",853,0,7.91,0.00,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem.CreateGDPColorizer",9,0,0.08,0.00,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem.CreateShapefileDataAdapter",5,0,0.05,0.00,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem.InitializeComponent",180,0,1.67,0.00,
"DevExpress.ApplicationUI.Demos.ucChoroplethMapItem.OnFileLoaded",18,0,0.17,0.00,
"DevExpress.ApplicationUI.Demos.ucCodeEditor..ctor",641,0,5.94,0.00,
"DevExpress.ApplicationUI.Demos.ucCodeEditor.InitializeComponent",624,0,5.78,0.00,
"DevExpress.ApplicationUI.Demos.ucCodeEditor.LoadCode",272,0,2.52,0.00,
"DevExpress.ApplicationUI.Demos.ucProductsGrid..ctor",104,0,0.96,0.00,
"DevExpress.ApplicationUI.Demos.ucProductsGrid.InitializeComponent",90,0,0.83,0.00,
"DevExpress.ApplicationUI.Demos.ucSolutionExplorer..ctor",152,0,1.41,0.00,
"DevExpress.ApplicationUI.Demos.ucSolutionExplorer.AddAllNodes",16,0,0.15,0.00,
"DevExpress.ApplicationUI.Demos.ucSolutionExplorer.InitializeComponent",80,0,0.74,0.00,
"DevExpress.ApplicationUI.Demos.ucSolutionExplorer.InitTreeView",11,0,0.10,0.00,
"DevExpress.ApplicationUI.Demos.Weather..ctor",116,0,1.08,0.00,
"DevExpress.ApplicationUI.Demos.Weather.InitializeComponent",113,0,1.05,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem..ctor",73,0,0.68,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem.InitializeComponent",57,0,0.53,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem.set_RelativeHumidity",6,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem.set_Sity",5,0,0.05,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem.set_SkyConditions",6,0,0.06,0.00,
"DevExpress.ApplicationUI.Demos.WeatherItem.set_Temperature",13,0,0.12,0.00,
"DevExpress.ApplicationUI.Demos.WidgetControl..ctor",152,0,1.41,0.00,
"DevExpress.ApplicationUI.Demos.WidgetControl.InitializeComponent",131,0,1.21,0.00,
"DevExpress.ApplicationUI.Demos.WidgetControl.OnTimerTick",70,0,0.65,0.00,
"DevExpress.ApplicationUI.Demos.WidgetControl.set_CompanyNameText",1,0,0.01,0.00,
"DevExpress.ApplicationUI.Demos.WidgetView..ctor",10,0,0.09,0.00,
"DevExpress.ApplicationUI.Demos.WidgetView.InitializeComponent",9,0,0.08,0.00,
"DevExpress.ApplicationUI.Demos.WidgetView.View_QueryControl","1.686",0,15.63,0.00,
"DevExpress.Charts.ChartData.InteractionManager.AddSeries",7,0,0.06,0.00,
"DevExpress.Charts.ChartData.InteractionManager.DevExpress.Charts.ChartData.IMinMaxValuesCalculator.GetMinMaxValues",5,0,0.05,0.00,
"DevExpress.Charts.ChartData.InteractionManager.GetSeriesGroupsContainer",1,0,0.01,0.00,
"DevExpress.Charts.ChartData.InteractionManager.UpdatePoints",2,0,0.02,0.00,
"DevExpress.Charts.Native.AggregatedSeriesPoint..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.AggregatedSeriesPoint..ctor",3,0,0.03,0.00,
"DevExpress.Charts.Native.AggregatedSeriesPoint..ctor",3,0,0.03,0.00,
"DevExpress.Charts.Native.AggregationCalculator.CreateArray",2,0,0.02,0.00,
"DevExpress.Charts.Native.AggregationPointFilter..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.AggregationPointFilter.GetAggregatedPoints",17,0,0.16,0.00,
"DevExpress.Charts.Native.AggregationPointFilter.Recalculate",30,0,0.28,0.00,
"DevExpress.Charts.Native.AxisDateTimeGridMapping.AlignedToInternal",15,0,0.14,0.00,
"DevExpress.Charts.Native.AxisDateTimeGridMapping.InternalToAligned",20,0,0.19,0.00,
"DevExpress.Charts.Native.AxisDateTimeGridMapping.InternalToNative",3,0,0.03,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.DevExpress.Charts.Native.IPriorScaleMap.UpdateMin",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.InternalToNative",30,0,0.28,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.InternalToRefined",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.InternalToRefined",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.InternalToRefinedExact",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.NativeToInternal",13,0,0.12,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.RefinedToInternal",8,0,0.07,0.00,
"DevExpress.Charts.Native.AxisDateTimeMap.TryNativeToInternal",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisGridDataEx..ctor",45,0,0.42,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.AddMajorValue",5,0,0.05,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.CreateInterlacedData",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.CreateStripsAndCustomLabels",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.GetGridValue",12,0,0.11,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.GetMajorBase",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.GridIndex",3,0,0.03,0.00,
"DevExpress.Charts.Native.AxisGridDataEx.IsValueWithinRange",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver..ctor",4,0,0.04,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.DoLabelsModifications",14,0,0.13,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.DoRotate",5,0,0.05,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.DoStagger",6,0,0.06,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.DoThinOut",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.IsOverlapped",42,0,0.39,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.Process",56,0,0.52,0.00,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.ResetOverlapState",3,0,0.03,0.00,
"DevExpress.Charts.Native.AxisLabelRotationHelper.CalculateOffset",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisLabelRotationHelper.GetStrongRoundedValue",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisNumericalMap.NativeToInternal",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisPaneContainer..ctor",6,0,0.06,0.00,
"DevExpress.Charts.Native.AxisPaneContainer.RegisterAxis",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisTextDataEx.Add",3,0,0.03,0.00,
"DevExpress.Charts.Native.AxisTextDataEx.ConstructAxisLabelText",41,0,0.38,0.00,
"DevExpress.Charts.Native.AxisTextDataEx.ConstructText",42,0,0.39,0.00,
"DevExpress.Charts.Native.AxisVisibilityInPanes.Reset",1,0,0.01,0.00,
"DevExpress.Charts.Native.AxisVisibilityInPanes.UpdateVisibilityInPanes",1,0,0.01,0.00,
"DevExpress.Charts.Native.BindingProcedure..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.BindingProcedure.CheckCurrentRecord",1,0,0.01,0.00,
"DevExpress.Charts.Native.BindingProcedure.CheckCurrentRecordByIntersection",1,0,0.01,0.00,
"DevExpress.Charts.Native.BindingProcedure.CreateDataBrowser",4,0,0.04,0.00,
"DevExpress.Charts.Native.ChartBindingProcedure.CreateBindingSeries",9,0,0.08,0.00,
"DevExpress.Charts.Native.ChartDebug.Assert",3,0,0.03,0.00,
"DevExpress.Charts.Native.ChartUpdateAggregator.AddRange",1,0,0.01,0.00,
"DevExpress.Charts.Native.ChartUpdateAggregator.GetUpdates",1,0,0.01,0.00,
"DevExpress.Charts.Native.CrosshairManager.UpdateCrosshairData",12,0,0.11,0.00,
"DevExpress.Charts.Native.CrosshairSeriesData..ctor",8,0,0.07,0.00,
"DevExpress.Charts.Native.CrosshairSeriesData.get_ShowCrosshair",1,0,0.01,0.00,
"DevExpress.Charts.Native.CrosshairSortedPointsInfoComparer.Compare",1,0,0.01,0.00,
"DevExpress.Charts.Native.CustomDateCollection..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.DatetimeAxisRangeUpdateStrategy.CorrectInternalValue",3,0,0.03,0.00,
"DevExpress.Charts.Native.DatetimeAxisRangeUpdateStrategy.CorrectNativeValues",4,0,0.04,0.00,
"DevExpress.Charts.Native.DatetimeAxisRangeUpdateStrategy.DefaultRange",5,0,0.05,0.00,
"DevExpress.Charts.Native.DateTimeMeasureUnitsCalculator..ctor",3,0,0.03,0.00,
"DevExpress.Charts.Native.DateTimeMeasureUnitsCalculator.UpdateAutomaticMeasureUnitsList",14,0,0.13,0.00,
"DevExpress.Charts.Native.DateTimeMeasureUnitsCalculator.UpdateAutomaticUnits",5,0,0.05,0.00,
"DevExpress.Charts.Native.DateTimeUnitSelector..ctor",2,0,0.02,0.00,
"DevExpress.Charts.Native.DateTimeUtils.AddRange",1,0,0.01,0.00,
"DevExpress.Charts.Native.DateTimeUtilsExt.GetActualDayOfWeek",1,0,0.01,0.00,
"DevExpress.Charts.Native.DateTimeUtilsExt.GetHolidaysCount",1,0,0.01,0.00,
"DevExpress.Charts.Native.GeometricUtils.StrongRound",3,0,0.03,0.00,
"DevExpress.Charts.Native.GRealRect2D..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.GridAndTextDataEx.CalcManualGridSpacing",10,0,0.09,0.00,
"DevExpress.Charts.Native.GridAndTextDataEx.CalcNonQualitativeGridSpacing",14,0,0.13,0.00,
"DevExpress.Charts.Native.GridAndTextDataEx.CalculateDelta",1,0,0.01,0.00,
"DevExpress.Charts.Native.GridAndTextDataEx.CalculateGridSpacing",19,0,0.18,0.00,
"DevExpress.Charts.Native.GridSpacingCalculator.Calculate",1,0,0.01,0.00,
"DevExpress.Charts.Native.InteractionComparerByArgument.Compare",1,0,0.01,0.00,
"DevExpress.Charts.Native.LineStrip..ctor",4,0,0.04,0.00,
"DevExpress.Charts.Native.MeasureUnitsCalculatorBase.CalculateAutoMeasureUnit",1,0,0.01,0.00,
"DevExpress.Charts.Native.MeasureUnitsCalculatorBase.UpdateAutomaticMeasureUnit",28,0,0.26,0.00,
"DevExpress.Charts.Native.MinMaxValues..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.MinMaxValues.get_HasValues",1,0,0.01,0.00,
"DevExpress.Charts.Native.MinMaxValues.op_BitwiseOr",1,0,0.01,0.00,
"DevExpress.Charts.Native.NumericMeasureUnitsCalculator.UpdateAutomaticMeasureUnitsList",3,0,0.03,0.00,
"DevExpress.Charts.Native.NumericMeasureUnitsCalculator.UpdateAutomaticUnits",2,0,0.02,0.00,
"DevExpress.Charts.Native.NumericUnitSelector.UpdateActiveUnits",2,0,0.02,0.00,
"DevExpress.Charts.Native.PaneAxesContainer..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.PaneAxesContainer.get_Axes",1,0,0.01,0.00,
"DevExpress.Charts.Native.PaneAxesContainer.RegisterAxisX",1,0,0.01,0.00,
"DevExpress.Charts.Native.PaneAxesContainer+AxesList.Register",1,0,0.01,0.00,
"DevExpress.Charts.Native.PaneAxesContainerRepository.GetContaiter",3,0,0.03,0.00,
"DevExpress.Charts.Native.PaneAxesContainerRepository.UpdateRanges",1,0,0.01,0.00,
"DevExpress.Charts.Native.PatternParser+PatternFragment.GetText",10,0,0.09,0.00,
"DevExpress.Charts.Native.PointsFilter..ctor",3,0,0.03,0.00,
"DevExpress.Charts.Native.PointsProcessor..ctor",4,0,0.04,0.00,
"DevExpress.Charts.Native.PointsProcessor.ClearCache",1,0,0.01,0.00,
"DevExpress.Charts.Native.PointsProcessor.InitFilters",3,0,0.03,0.00,
"DevExpress.Charts.Native.PointsProcessor.UpdateFilters",89,0,0.82,0.00,
"DevExpress.Charts.Native.PointsValueThresholdFilter.IsEnabled",3,0,0.03,0.00,
"DevExpress.Charts.Native.RangeHelper.ResetRangeOnRemoveSeriesFromSeriesGroups",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeSnapshot.ApplyState",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeUpdateManager..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.CreateDependentPair",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.CreateUpdateGroups",8,0,0.07,0.00,
